projectName,openedDate,resolvedDate,locationName,itemSymptom,assignedGroup,contactType,priorityLevel,taskType
Novelis,5/9/2016 06:16:00,8/3/2016 06:17:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,4/5/2016 06:16:00,8/3/2016 06:16:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,3/10/2016 06:17:00,8/3/2016 06:25:00,NNA/Corp - Atlanta HQ,Status Check,IT Service Desk NNA L1,Chat,4 - Low,Incident
Novelis,4/4/2015 06:19:00,8/3/2016 13:13:00,,Network Device Issue,IT Network L2,Phone,3 - Normal,Incident
Novelis,11/12/2014 06:21:00,8/5/2016 07:26:00,NSA - Pinda,Oracle - All Other Issues,IT Desktop Pinda L2,Phone,3 - Normal,Incident
Novelis,5/25/2016 06:28:00,8/3/2016 07:36:00,NE - Bresso,AS400 - All Other Issues,IT App NE Italy AS400 L2,Self-service,3 - Normal,Incident
Novelis,6/24/2014 06:37:00,8/3/2016 14:07:00,NSA - Pinda,Oracle - All Other Issues,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,10/27/2015 06:37:00,8/3/2016 06:42:00,NA - Changzhou Site Office,Software Uninstall,IT Service Desk NA L1,Phone,3 - Normal,Incident
Novelis,7/9/2014 06:38:00,8/3/2016 06:50:00,NSA - Pinda,Novelis Specific Software - Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,1/14/2015 06:39:00,8/3/2016 06:45:00,NE - Stuttgart,Service Request,IT Service Desk NE L1,Chat,3 - Normal,Incident
Novelis,1/12/2016 06:41:00,8/3/2016 06:49:00,NNA - Greensboro,VPN Access Request New,IT Security NEW VPN Access Request L2,Phone,3 - Moderate,Catalog Task
Novelis,5/17/2014 06:44:00,8/3/2016 06:45:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,4/1/2016 06:45:00,8/3/2016 12:13:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Plant Controllers,Phone,3 - Moderate,Catalog Task
Novelis,1/8/2014 06:58:00,8/3/2016 07:06:00,NE - Sierre,Status Check,IT Service Desk NE L1,Phone,3 - Normal,Incident
Novelis,10/31/2014 07:03:00,8/4/2016 06:34:00,NNA - Oswego,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,3/17/2015 07:04:00,8/10/2016 09:32:00,NE - Zurich,Novelis Specific Software - Software Iss,IT Active Directory L2,Self-service,3 - Normal,Incident
Novelis,7/24/2016 07:07:00,8/3/2016 07:25:00,NNA - Oswego,Contractor Information Update,IT FIM AD Request Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,9/24/2015 07:08:00,8/3/2016 07:18:00,NSA - Pinda,Outlook - Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
